credit_score,annual_income,debt_to_income,employment_years,loan_amount,age
743.4,22899.53,0.2577,1.8,31828.34,71.6
730.2,49527.42,0.3601,0.4,33526.13,69.3
790.8,109451.78,0.5719,0.3,53530.67,72.0
847.5,71500.41,0.6173,0.9,24195.59,65.2
768.1,187866.41,0.4591,8.2,22937.15,54.8
801.0,174791.87,0.4094,7.3,60122.23,55.1
822.5,44121.01,0.1231,8.9,49524.94,55.0
835.2,36661.59,0.4265,4.7,20804.99,59.8
708.6,132692.53,0.4673,3.7,30233.4,18.0
817.5,93464.82,0.3499,0.4,35868.06,55.2
778.6,129810.91,0.3086,2.3,42230.81,45.6
731.9,116351.57,0.6613,10.8,32028.02,35.7
725.8,96718.87,0.4888,6.1,100000.0,45.2
761.8,56917.66,0.551,5.2,41159.16,44.3
700.5,125207.02,0.6438,4.8,30120.38,58.2
663.3,218155.33,0.6652,4.4,25958.87,52.3
785.1,54208.22,0.424,2.0,59281.4,35.1
842.0,202985.54,0.289,14.0,24256.71,69.0
760.7,76512.61,0.4475,2.8,32858.65,58.4
839.2,100121.09,0.3698,13.9,33196.86,74.8
748.0,64353.66,0.1705,3.0,49835.03,34.6
700.4,54079.72,0.2013,4.2,36987.62,49.5
658.2,154564.56,0.4008,16.3,16166.32,31.7
714.4,48334.03,0.2843,1.1,18483.21,52.7
850.0,100471.0,0.3515,0.2,42790.76,75.0
761.7,71928.39,0.199,1.8,16914.56,61.6
634.7,237878.82,0.7417,0.5,14134.42,34.9
779.9,67965.9,0.5331,5.9,47761.14,58.1
749.0,66262.86,0.3413,4.3,57735.84,41.8
742.0,182809.32,0.3745,1.6,35574.35,58.1
728.8,72432.82,0.2663,4.6,28678.61,52.6
712.4,59645.28,0.3146,5.8,36058.19,52.9
750.3,124093.64,0.4035,23.5,65685.49,45.8
634.8,115725.56,0.2499,0.8,19400.19,38.9
688.3,91213.11,0.1796,1.6,54761.64,35.7
753.6,62069.88,0.2602,15.1,47215.3,65.5
841.1,92141.78,0.3775,11.0,25444.04,42.4
816.6,137530.38,0.4774,18.0,63881.15,69.4
850.0,87772.49,0.5096,3.1,21978.11,59.7
850.0,200629.76,0.4787,2.5,59591.57,54.1
631.1,57349.64,0.3762,2.3,20656.94,45.9
822.1,20402.04,0.399,1.8,16167.91,20.7
850.0,136929.8,0.7156,5.0,25757.06,57.4
798.1,173454.49,0.3334,1.7,25935.84,47.1
631.6,86832.61,0.282,14.0,54403.33,55.5
750.8,172308.45,0.4323,3.7,46706.02,20.1
714.5,41107.87,0.3686,3.8,33378.14,55.0
809.5,106213.95,0.5175,8.8,69554.34,49.2
850.0,72780.36,0.3745,7.4,43073.66,36.8
831.6,68290.35,0.476,15.5,30888.57,64.5
697.1,193920.01,0.4742,18.0,19788.45,37.8
843.1,104465.6,0.3006,1.0,9466.29,40.2
780.5,27602.99,0.4479,1.4,62136.41,75.0
850.0,115387.19,0.3384,2.3,28776.66,39.5
755.9,240130.5,0.3064,4.7,28916.09,47.2
795.5,34845.12,0.3907,1.4,53572.42,47.9
774.2,35467.74,0.3461,0.6,18957.0,47.1
761.2,60191.14,0.3022,4.4,32133.95,44.4
850.0,39700.76,0.3705,11.0,23349.33,56.0
850.0,80136.94,0.386,2.2,50597.21,44.3
812.2,86079.92,0.6335,1.9,30244.69,59.5
667.4,199519.02,0.2797,9.5,48205.64,72.5
