credit_score,annual_income,debt_to_income,employment_years,loan_amount,age
820.7,40942.02,0.1618,12.7,69610.2,34.4
713.2,72084.6,0.508,2.0,30619.4,41.6
731.1,32067.05,0.4439,4.9,95014.8,33.6
795.9,31636.16,0.432,23.6,23954.81,58.6
770.9,74985.63,0.1757,2.5,16073.75,36.6
751.3,51089.63,0.0834,1.5,32946.85,51.2
674.7,38063.13,0.1354,2.0,37282.88,59.2
623.5,67809.1,0.3034,6.1,20538.77,46.6
735.1,81168.54,0.4168,15.3,72348.93,23.8
664.0,58445.69,0.2485,13.1,15654.58,60.8
771.2,118685.24,0.4043,2.7,43385.88,50.9
721.9,40516.5,0.3765,2.5,100000.0,59.4
645.4,41203.56,0.4749,4.4,71284.63,37.4
726.4,90235.23,0.2883,0.6,83271.72,49.2
761.7,34590.35,0.1856,4.8,80619.25,73.1
719.2,81344.68,0.1593,4.8,49904.79,18.0
642.4,25572.1,0.3096,4.0,64448.62,52.9
726.0,34778.21,0.179,10.5,39005.49,43.8
733.6,52263.37,0.214,2.7,6144.89,72.4
770.9,46565.05,0.0791,4.8,40499.14,62.9
762.8,121797.01,0.124,3.4,7940.27,31.8
632.3,35429.1,0.2591,7.0,13492.41,43.3
665.2,56076.97,0.2255,14.8,34263.79,36.5
753.5,61603.34,0.1023,2.3,67697.03,31.1
569.2,54063.42,0.4351,6.0,15561.2,25.9
767.2,100240.15,0.4009,2.1,8886.79,35.7
637.8,42959.26,0.4948,2.4,17200.81,55.0
671.3,44091.27,0.2845,3.0,13216.58,26.7
820.5,34914.04,0.2521,2.8,39220.98,58.2
699.8,88185.62,0.5042,2.5,13655.32,18.0
680.8,64901.32,0.1751,15.1,41956.23,30.2
727.5,65396.63,0.2408,7.9,73346.61,59.9
697.5,63426.32,0.2708,4.9,43677.41,55.1
654.9,32865.71,0.3182,1.2,36130.93,50.8
725.0,73066.62,0.5049,13.2,81369.66,40.3
850.0,66876.67,0.2861,26.8,46938.63,44.8
778.6,116125.98,0.1726,8.8,51476.87,75.0
740.0,70455.61,0.1109,0.7,48024.89,73.6
725.6,38750.06,0.2981,4.1,6997.89,55.7
768.8,49145.94,0.0626,30.0,22873.89,52.9
754.9,139151.87,0.4845,0.2,93500.36,37.9
636.5,31598.62,0.2395,2.6,20110.23,33.9
745.6,29206.47,0.122,10.1,55810.09,35.7
709.2,64385.06,0.1699,1.7,24534.25,23.8
842.3,116874.49,0.3767,18.9,37406.81,48.7
688.1,59322.95,0.0859,5.6,13226.97,19.9
805.1,32119.71,0.0759,0.3,18724.68,35.8
612.5,169032.52,0.2517,6.5,35796.51,24.0
730.0,39304.36,0.3116,8.5,40631.97,45.1
648.1,86014.6,0.2445,2.2,15952.21,49.9
634.8,117001.91,0.4144,1.9,12424.69,34.0
767.8,60064.63,0.2424,13.3,54828.36,36.0
