credit_score,annual_income,debt_to_income,employment_years,loan_amount,age
699.5,64651.44,0.3131,1.7,33700.38,33.9
734.3,74836.26,0.1314,4.7,44803.18,38.0
633.2,120779.18,0.1352,25.0,21976.45,25.2
607.3,53524.05,0.2724,26.9,33255.35,44.5
520.7,61984.21,0.5727,16.4,13314.05,51.2
757.7,53684.34,0.0617,7.5,10401.08,44.6
681.3,21891.62,0.1647,1.8,28917.77,46.3
696.5,28882.6,0.3177,8.9,41767.94,37.5
617.3,62028.72,0.4196,11.6,23127.09,46.4
778.1,39396.38,0.609,1.0,77310.62,53.8
755.5,47831.54,0.3812,2.1,31580.67,25.8
670.3,24069.84,0.2468,7.0,26744.14,26.0
635.5,56654.85,0.326,2.4,50588.67,43.7
651.5,42300.84,0.0831,0.0,41298.93,39.3
616.1,53863.33,0.3657,16.9,19753.67,30.7
682.1,54010.77,0.1413,0.7,18042.12,52.6
630.7,21769.52,0.2576,6.5,100000.0,45.6
726.8,85122.82,0.2877,0.6,70555.27,35.5
651.2,26048.82,0.0983,0.6,30054.48,57.5
651.7,42243.71,0.2864,0.9,56082.2,30.6
803.0,38933.72,0.0629,0.8,42492.07,18.3
621.9,82212.92,0.0693,6.1,100000.0,26.3
554.6,51793.12,0.2113,7.8,41539.52,35.3
709.3,79384.83,0.0491,3.2,45202.44,43.5
513.8,54343.08,0.2525,0.7,100000.0,48.3
701.2,48493.32,0.2565,3.4,16045.98,34.0
758.5,32795.15,0.193,12.8,78401.42,49.8
685.6,38780.99,0.4653,1.9,14248.96,48.0
680.7,50006.68,0.2299,2.5,70278.59,33.0
516.0,55822.88,0.0401,17.4,12126.26,63.2
724.4,35592.93,0.2773,3.3,29504.01,60.8
711.7,99247.27,0.1438,6.1,33736.83,40.5
586.2,57082.83,0.0335,1.3,44251.39,51.9
833.1,28193.53,0.5446,1.2,38845.09,38.6
582.1,103272.74,0.4241,2.4,29572.58,40.9
545.7,21141.69,0.4818,0.7,10490.9,36.7
535.1,59810.55,0.3332,1.9,90105.79,46.0
682.1,37400.29,0.3746,4.2,30440.31,26.0
707.0,107829.64,0.2156,6.6,38908.03,48.0
715.3,74552.57,0.1356,9.9,19476.25,43.0
653.0,27413.43,0.3131,9.5,60989.93,52.4
615.0,81178.85,0.2518,7.2,16749.9,55.2
747.4,20000.0,0.2641,0.3,31823.15,45.2
608.2,74546.59,0.5572,7.5,20098.53,45.5
583.2,47998.28,0.2171,0.4,46957.96,34.7
792.1,31148.77,0.0641,1.1,32826.83,24.6
694.2,80220.26,0.1771,1.6,50229.17,45.7
717.7,72377.49,0.3885,3.8,32683.74,54.3
730.1,54100.66,0.3533,0.4,18399.97,50.7
634.3,56681.12,0.505,0.2,95383.85,38.5
637.4,60104.31,0.378,6.1,33520.78,30.5
731.2,41153.16,0.2639,4.0,44794.63,40.9
630.6,65011.33,0.2082,2.9,35118.99,48.3
706.9,20000.0,0.3085,0.7,19456.09,38.8
672.8,20000.0,0.4965,2.8,62708.27,50.4
584.5,61933.7,0.0627,3.5,24511.91,47.2
757.3,59641.07,0.413,10.1,54196.0,27.9
576.9,35161.47,0.0958,0.3,39625.85,32.8
698.6,28606.28,0.211,1.0,44306.69,39.1
685.4,94973.35,0.6402,0.5,23432.38,64.8
781.3,37956.3,0.0983,5.9,9750.61,46.3
590.4,36270.55,0.1976,11.6,42600.68,54.4
636.5,30226.71,0.4386,2.9,31191.69,34.1
672.0,73110.51,0.3496,3.0,19274.1,29.1
694.5,20000.0,0.31,6.0,29255.45,39.6
749.5,44613.48,0.6974,1.6,100000.0,47.0
704.9,34290.84,0.1622,9.8,52515.1,46.5
682.0,45621.12,0.0529,8.5,48393.33,39.8
762.3,68481.1,0.2843,2.9,42712.11,57.2
847.7,38434.69,0.2449,4.5,32178.82,48.2
571.6,42703.0,0.1814,2.0,29598.66,34.0
679.5,20000.0,0.1287,1.6,36541.14,71.4
740.8,37269.89,0.5142,0.5,16322.69,51.0
686.9,28906.73,0.1901,3.3,44543.93,39.9
794.8,55020.19,0.5582,3.3,36282.93,44.4
653.3,43566.65,0.1711,7.8,34551.33,43.5
598.9,39318.56,0.3396,7.0,22875.07,20.0
749.6,53001.08,0.387,2.6,72873.18,35.3
458.2,31252.1,0.3551,0.6,67461.05,48.9
641.9,27781.97,0.2604,2.5,63886.08,46.4
850.0,20000.0,0.555,10.8,42933.44,49.5
682.1,47170.12,0.2706,1.4,28803.68,45.5
708.6,48813.22,0.6677,1.3,26287.84,68.1
603.9,47489.56,0.1611,5.1,54132.03,38.9
678.1,36488.02,0.2365,2.6,75813.42,38.8
668.6,82270.45,0.1138,2.8,32031.07,38.7
828.7,33573.86,0.0547,8.2,16731.81,36.6
599.2,119060.34,0.567,16.8,47714.73,75.0
459.1,42226.35,0.1837,2.9,43577.46,39.6
712.5,32297.87,0.4811,4.7,38681.21,42.1
804.0,39975.47,0.3827,2.1,15065.11,57.5
624.9,46891.91,0.0582,14.3,34339.86,36.3
534.1,58812.66,0.0803,4.6,71392.7,64.6
594.2,124193.6,0.0473,1.5,28081.74,47.0
714.7,52103.33,0.3586,3.5,30005.0,37.9
635.0,69416.97,0.2134,1.5,30928.05,47.8
683.4,76965.7,0.3241,3.7,37942.03,44.8
491.4,60548.5,0.4466,1.9,20219.84,50.7
638.4,126923.5,0.4553,3.2,23292.07,34.9
743.1,41144.08,0.3139,5.4,34198.71,37.9
658.8,35586.37,0.1335,0.4,70739.29,66.9
598.1,26450.9,0.258,9.1,76089.77,47.7
764.2,42425.87,0.0815,3.5,31285.15,35.1
759.0,20000.0,0.3403,2.0,16117.52,38.5
642.8,66345.12,0.2384,0.7,16286.35,48.1
620.7,34294.27,0.216,17.4,29990.01,33.1
782.2,67160.29,0.2197,1.2,12909.14,50.8
636.0,58119.73,0.2492,4.6,47815.99,45.7
666.9,26677.84,0.2442,4.3,56642.07,22.4
824.1,138897.35,0.0299,0.6,48689.94,32.9
694.9,33110.4,0.3036,9.2,28915.39,42.1
640.4,31819.65,0.1104,0.7,29708.34,37.5
521.9,39572.93,0.3857,11.2,81875.3,43.2
682.8,61666.79,0.247,3.0,66636.34,28.5
673.1,28400.29,0.2742,13.7,38980.9,33.4
630.1,72719.62,0.1117,0.4,41125.52,53.2
754.0,52115.21,0.6392,7.6,30879.39,36.3
576.7,44384.49,0.0386,8.5,30114.01,29.4
553.4,28818.56,0.027,0.2,12833.93,34.0
616.9,51186.83,0.3474,14.9,18317.12,41.8
675.6,42504.03,0.1453,0.9,50479.83,43.3
557.6,20000.0,0.3769,9.1,13080.53,40.7
583.3,56762.79,0.1588,1.1,68623.54,36.8
609.8,30409.53,0.0548,4.5,100000.0,48.7
672.7,41425.76,0.1953,10.8,51855.33,48.3
618.4,31256.19,0.2399,4.6,41733.51,25.5
752.5,40665.28,0.4099,2.3,64652.87,70.6
496.9,38510.65,0.0574,1.2,17004.14,54.6
705.6,40052.57,0.4197,5.2,82773.97,42.0
625.4,38569.66,0.0521,4.2,25375.41,45.5
709.9,34478.51,0.1826,0.1,37268.95,44.1
830.7,80071.69,0.0711,4.0,27187.32,56.3
666.9,60334.9,0.0526,23.1,23529.18,39.1
688.2,63027.26,0.1423,6.8,13776.31,35.2
739.4,92922.16,0.3136,3.4,27808.26,42.0
566.3,36789.22,0.253,3.8,38426.6,24.2
725.5,59838.01,0.281,3.7,22790.65,18.0
737.8,36723.4,0.3024,0.1,24562.48,41.3
661.7,31471.94,0.2429,4.9,43136.26,52.0
724.9,92582.76,0.3401,4.4,15804.64,18.7
683.0,31287.65,0.1572,3.0,30067.27,30.4
611.6,165769.27,0.1102,3.2,79621.37,33.3
567.5,157898.82,0.5196,12.1,22245.01,47.1
751.2,20000.0,0.5339,2.6,100000.0,54.2
815.2,76142.99,0.1785,3.0,15565.87,46.9
609.9,31579.82,0.1811,1.4,10505.03,40.1
702.3,64018.51,0.5327,0.0,48189.6,45.0
575.7,52997.19,0.2172,1.3,42970.57,52.3
635.3,20000.0,0.2172,0.6,100000.0,48.1
633.3,50976.91,0.2959,17.9,12110.09,36.0
581.9,93427.21,0.2164,2.0,31129.71,22.0
667.1,54774.21,0.2643,0.3,31660.87,64.3
752.5,124492.77,0.6761,2.6,97603.07,18.0
718.0,33775.7,0.0361,0.6,65408.01,62.5
632.0,125643.96,0.0452,3.0,25860.75,42.1
787.2,48210.3,0.2626,1.7,100000.0,49.5
691.0,25203.13,0.044,0.1,24010.99,47.8
817.7,64080.63,0.2199,8.6,48710.33,46.1
569.2,114732.02,0.3306,2.2,34827.43,48.5
850.0,53567.18,0.0381,7.9,26418.26,33.5
659.7,54713.09,0.0418,11.4,30670.07,47.3
579.3,51628.98,0.4406,1.2,32260.16,21.2
588.6,20000.0,0.3705,6.9,20682.68,54.4
748.6,135339.24,0.1813,8.1,27467.9,20.9
746.4,126968.35,0.4272,3.8,85809.75,33.2
739.1,103701.8,0.1864,7.9,24373.72,49.3
722.8,60812.89,0.112,2.2,39556.56,62.3
584.0,51583.77,0.2821,4.3,65853.37,48.9
662.7,41872.02,0.1611,0.3,29699.05,18.0
489.2,108268.38,0.0708,2.5,60132.4,45.3
604.4,74115.76,0.1714,7.4,62714.12,35.1
728.0,27481.72,0.3456,19.5,31417.03,42.7
524.2,38897.28,0.2905,10.1,69754.61,63.8
850.0,58564.79,0.6093,1.1,67218.94,47.0
776.1,37268.09,0.2734,1.1,52773.34,39.0
583.3,69754.04,0.3715,3.3,64679.01,23.2
733.0,134639.62,0.2542,7.8,32379.22,26.1
719.6,133721.37,0.3018,3.2,68187.37,40.2
664.2,69692.84,0.3786,9.7,100000.0,48.5
