credit_score,annual_income,debt_to_income,employment_years,loan_amount,age
704.4,47589.08,0.1452,3.4,32058.15,36.6
596.8,34042.21,0.1468,14.0,23002.99,44.3
740.0,39845.45,0.0645,4.9,55504.78,19.6
755.2,67302.67,0.3075,8.8,13862.19,43.2
523.9,49094.22,0.3719,28.2,14075.19,32.5
575.8,58110.69,0.3576,11.8,29722.71,39.8
690.2,68530.87,0.0126,14.9,32682.93,21.8
654.7,40642.89,0.1883,2.7,15172.1,46.9
678.7,71548.02,0.251,0.9,25234.08,21.6
611.8,59244.09,0.2194,2.2,28548.9,43.8
750.4,26438.95,0.1927,0.4,28681.89,27.3
742.2,100826.09,0.4139,0.6,39780.37,31.8
685.3,38163.22,0.0331,0.1,24417.43,55.9
770.2,21427.97,0.2753,0.0,88141.77,49.1
717.4,29070.47,0.2588,11.6,48675.1,55.8
611.3,29421.4,0.2918,17.4,22375.72,60.7
709.5,50316.42,0.3161,5.6,38434.35,32.7
603.3,42747.87,0.3709,4.3,39120.79,60.0
750.3,41422.69,0.2376,3.4,75269.7,24.4
676.0,66826.23,0.0212,18.2,25330.65,51.0
665.2,58100.97,0.0638,1.9,57549.64,36.1
625.5,57412.88,0.2647,7.6,37239.03,30.8
777.8,60169.1,0.2439,1.4,88870.89,49.4
667.6,66707.14,0.1829,1.4,78789.49,53.3
645.7,20000.0,0.3284,6.1,40871.47,53.0
651.8,40854.85,0.1207,7.2,31027.54,44.6
722.6,20000.0,0.1115,0.6,49215.48,43.6
709.2,49912.66,0.3124,5.4,32589.0,48.3
713.0,48907.38,0.2202,5.0,99527.0,45.6
714.5,82682.74,0.3867,1.1,38066.2,48.5
850.0,88771.17,0.1137,12.8,28470.23,44.4
647.5,54251.59,0.278,3.4,27563.04,52.1
639.0,38170.55,0.2358,2.1,17538.94,22.5
614.9,62478.67,0.2372,2.1,50712.89,40.4
729.3,37648.23,0.0944,2.1,22203.24,25.4
770.3,48986.68,0.1954,0.3,70184.93,45.3
670.9,80263.33,0.1834,7.0,16717.96,61.7
612.8,37090.43,0.1134,14.8,39196.58,36.3
614.0,73338.38,0.2229,10.8,72412.5,43.5
732.0,68782.23,0.1034,2.3,9983.13,51.1
739.5,30412.35,0.3868,6.3,100000.0,18.0
723.5,79773.53,0.1371,2.1,28136.67,35.7
626.8,69513.98,0.2368,0.8,39523.76,46.4
698.6,51583.8,0.1722,2.3,51168.0,18.0
689.3,33484.51,0.0492,2.3,56144.13,30.3
697.5,31901.14,0.4354,1.0,42801.58,55.2
749.7,37465.23,0.1006,2.5,66067.4,54.0
697.9,64298.86,0.2184,3.0,49584.94,46.5
734.3,30399.68,0.1529,1.5,100000.0,52.6
685.4,61007.75,0.4287,0.3,49681.93,44.6
703.1,26347.33,0.2499,1.3,100000.0,48.7
730.5,44265.71,0.5069,10.3,62358.0,38.2
563.4,51783.35,0.2831,4.1,12290.11,43.4
654.4,166469.11,0.2335,1.9,100000.0,34.4
642.4,24620.68,0.0921,1.5,25729.5,57.2
628.9,102335.03,0.4804,5.1,89083.23,60.3
658.0,52834.58,0.1171,1.0,36904.03,58.6
799.6,60209.53,0.2997,1.2,68641.61,37.1
610.7,52009.1,0.5633,8.8,24026.5,30.6
757.5,61228.22,0.4717,2.9,52862.35,57.3
545.4,45395.01,0.3109,0.8,31197.26,48.5
653.2,101419.95,0.241,0.1,93657.69,45.9
693.0,39017.46,0.1976,16.8,47249.67,34.4
726.9,86345.96,0.0157,0.0,63676.16,47.1
736.9,35518.77,0.246,3.6,9912.52,29.0
743.5,47566.03,0.2366,5.1,34497.99,49.6
652.1,28681.82,0.3692,3.9,46459.26,58.5
643.0,61544.26,0.1035,2.3,41529.9,61.6
748.6,100968.41,0.3413,9.2,64646.83,50.5
664.7,47160.97,0.248,10.2,29157.21,25.4
577.9,44424.98,0.2037,2.5,37394.25,44.4
589.3,28076.59,0.2046,3.4,73772.11,67.7
606.4,43710.94,0.1928,3.4,9253.77,31.6
719.8,22105.97,0.1584,5.3,51720.54,41.3
691.4,31056.43,0.3342,1.1,29722.78,59.0
735.2,54906.83,0.3735,0.3,21006.96,49.4
645.8,94798.29,0.0934,2.6,44441.39,71.8
692.7,199706.77,0.2043,0.5,75846.8,33.2
730.0,36559.91,0.0486,3.0,67743.67,30.1
655.3,100473.58,0.334,7.5,33487.66,56.7
716.5,55374.6,0.307,2.9,61417.16,27.6
627.0,45450.37,0.4956,3.6,61135.06,39.6
651.0,60857.92,0.6824,4.3,34460.78,41.2
649.5,50562.13,0.3594,6.4,23960.25,54.4
584.3,51802.72,0.377,4.0,24806.46,49.4
719.0,39967.96,0.33,2.6,60036.74,47.5
642.4,24366.03,0.1709,2.5,35408.67,37.2
681.0,22656.17,0.4872,1.0,19385.69,56.6
718.5,67956.46,0.4622,2.6,13214.66,75.0
715.7,42687.01,0.1827,6.7,59820.21,50.3
733.2,36386.59,0.2385,2.3,26158.59,43.2
672.1,49229.72,0.2944,2.0,44277.53,26.4
646.1,72945.37,0.3277,3.7,76406.58,34.4
673.6,53647.06,0.5075,0.8,16558.34,39.4
545.0,35311.8,0.6232,0.4,35345.19,35.6
564.2,90503.74,0.0755,5.8,32780.32,41.8
574.2,107968.28,0.2136,1.5,45608.33,63.3
600.2,62772.87,0.1536,1.4,76381.52,57.0
712.0,79764.34,0.1088,9.3,16355.65,40.1
607.6,91215.49,0.025,10.9,51117.33,27.5
649.7,86253.82,0.0325,3.2,67434.65,58.0
783.9,66639.29,0.1078,4.5,32473.31,41.4
651.5,66116.49,0.0224,15.2,33440.79,21.3
739.0,63565.76,0.1276,2.3,46679.93,50.5
605.3,28320.22,0.3734,8.9,44662.53,54.3
663.6,69588.99,0.1155,5.9,51503.84,18.0
604.0,24886.8,0.0763,13.5,50856.76,32.1
652.9,32948.48,0.3249,1.2,20147.12,40.7
747.2,94068.88,0.3809,7.4,65785.84,50.8
541.8,74615.99,0.3901,0.8,73135.55,35.8
714.8,103125.21,0.3421,7.3,40605.13,32.0
699.0,42794.41,0.5885,1.7,14816.65,50.7
632.5,27553.24,0.088,0.3,33899.4,36.4
564.3,43468.05,0.1634,7.9,40808.41,48.5
685.8,51586.52,0.3658,0.2,18274.1,28.7
637.6,50995.59,0.3607,8.4,29258.26,25.8
698.6,86408.41,0.0228,1.0,15589.9,51.1
681.7,40919.61,0.4601,3.7,52280.32,45.0
808.1,58455.28,0.2063,0.1,40117.71,53.1
660.9,29902.17,0.3999,0.3,13528.18,35.6
598.1,61399.6,0.2776,1.3,44841.03,32.5
694.3,49097.05,0.3947,2.0,35104.85,58.3
697.6,33694.62,0.1295,0.9,49505.97,23.7
788.7,43568.31,0.2686,0.5,28712.29,57.0
746.8,44708.2,0.3572,0.7,22451.49,57.8
708.5,42826.93,0.1395,3.0,22867.99,52.3
797.1,118856.32,0.2434,0.3,26294.05,33.7
584.9,46666.27,0.3252,10.8,36728.01,32.2
628.8,43392.94,0.1091,11.0,39686.85,39.5
605.9,20000.0,0.1542,0.3,32388.8,26.5
648.8,31347.7,0.3668,5.5,28169.87,30.5
569.9,42978.84,0.2743,5.1,29412.0,49.7
730.8,34789.6,0.0429,3.6,100000.0,49.8
662.2,97817.01,0.2249,1.3,22869.63,29.4
562.3,45140.32,0.0851,3.6,25983.49,50.1
598.8,93360.36,0.3071,8.6,100000.0,47.5
705.1,50556.78,0.033,1.5,46751.8,60.1
747.1,49941.82,0.2308,7.0,15867.24,48.8
